id,title,presenters,primary_authors,co_authors,collaboration,mini_abstract,poster_link,video_link,all_links,abstract,track,category,abstract_url,poster_session
333,Complete predictions for high-energy neutrino propagation in matter,Alfonso Andres Garcia Soto,Alfonso Andres Garcia Soto,"Aart Heijboer,Juan Rojo,Rhorry Gauld",,State-of-the-art calculations for high-energy neutrino propagation in matter.,https://indico.fnal.gov/event/19348/contributions/186200/attachments/129578/157239/neutrino2020_poster.pdf,NotFound,"https://indico.fnal.gov/event/19348/contributions/186200/attachments/129578/157239/neutrino2020_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186200/attachments/129578/157241/neutrino2020_video.m4v",null,null,null,https://indico.fnal.gov/event/19348/contributions/186200/contribution.pdf,4
335,Reconstruction with slow liquid scintillator,Wentai Luo,Wentai Luo,,,The good directional reconstruction by using the slow liquid scintillator,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186182/contribution.pdf,1
336,Measuring the Fluorescence Time Profile of the JUNO Liquid Scintillator using Gamma Radiation and a Pulsed Neutron Beam,Matthias Raphael Stock,"Hans Steiger,Matthias Raphael Stock","Andreas Steiger,David Dörflinger,Lothar Oberauer,Ludwig Wallner,Ulrike Fahrendholz",JUNO Collaboration,Results for the fluorescence decay-time profiles of the JUNO liquid scintillator are presented.,https://indico.fnal.gov/event/19348/contributions/186384/attachments/129783/157604/TUMPosterNeutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186384/attachments/129783/157604/TUMPosterNeutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186384/contribution.pdf,2
337,Tri-Partite entanglement in Neutrino Oscillations,Abhishek Kumar Jha,Abhishek Kumar Jha,"Bindu A. Bambah,Supratik Mukherjee",My Guide has collaboration with Fermilab,Three flavor neutrino oscillations exhibits the property of the class of W-state in quantum optics.,https://indico.fnal.gov/event/19348/contributions/186552/attachments/129490/157200/Abhishek__Neutrino_2020__Poster.pdf,https://indico.fnal.gov/event/19348/contributions/186552/attachments/129490/157201/Abhishek_Neutrino__2020__video.mp4,"https://indico.fnal.gov/event/19348/contributions/186552/attachments/129490/157200/Abhishek__Neutrino_2020__Poster.pdf,https://indico.fnal.gov/event/19348/contributions/186552/attachments/129490/157201/Abhishek_Neutrino__2020__video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186552/contribution.pdf,3
338,Stacking search for muon neutrinos from Gamma-Ray Bursts with ANTARES neutrino telescope using 2007 to 2017 data,Angela Zegarelli,Angela Zegarelli,Silvia Celli,ANTARES Collaboration,GRB stacking search with 10 years of ANTARES data.,https://indico.fnal.gov/event/19348/contributions/186368/attachments/129447/157032/poster_neutrino2020_final_revised_version_Zegarelli.pdf,https://indico.fnal.gov/event/19348/contributions/186368/attachments/129447/157033/video_Zegarelli_posterGRBanalysis.mov,"https://indico.fnal.gov/event/19348/contributions/186368/attachments/129447/157032/poster_neutrino2020_final_revised_version_Zegarelli.pdf,https://indico.fnal.gov/event/19348/contributions/186368/attachments/129447/157033/video_Zegarelli_posterGRBanalysis.mov",null,null,null,https://indico.fnal.gov/event/19348/contributions/186368/contribution.pdf,4
339,Rapid response to extraordinary events with the IceCube experiment,Manuela Mallamaci,"Elisa Bernardini,Erik Blaufuss,Konstancja Satalecka,Manuela Mallamaci,Thomas Kintscher",,IceCube Collaboration,Summary of a real-time selection+analysis platform for transient neutrino sources in IceCube.,https://indico.fnal.gov/event/19348/contributions/186220/attachments/129603/157281/poster_neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186220/attachments/129603/157281/poster_neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186220/contribution.pdf,1
340,Realtime Multi-Messenger Program of KM3NeT,Feifei Huang,Feifei Huang,"Damien Dornic,Massimiliano Lincetto",KM3NeT,The current status of KM3NeT's real-time multi-messenger program.,https://indico.fnal.gov/event/19348/contributions/186173/attachments/129659/157380/FHuang_KM3NeT_Realtime_Framework_Poster_Neutrino_2020_final.pdf,https://indico.fnal.gov/event/19348/contributions/186173/attachments/129659/157384/FHuang_KM3NeT_Online.mp4,"https://indico.fnal.gov/event/19348/contributions/186173/attachments/129659/157384/FHuang_KM3NeT_Online.mp4,https://indico.fnal.gov/event/19348/contributions/186173/attachments/129659/157380/FHuang_KM3NeT_Realtime_Framework_Poster_Neutrino_2020_final.pdf,https://indico.fnal.gov/event/19348/contributions/186173/attachments/129659/157531/go",null,null,null,https://indico.fnal.gov/event/19348/contributions/186173/contribution.pdf,2
341,The calibration system of the LEGEND-200 experiment,Yannick Müller,Yannick Müller,,LEGEND,The LEGEND-200 calibration system deploys sources to calibrate the 76Ge detector energy response.,https://indico.fnal.gov/event/19348/contributions/186189/attachments/129317/156825/poster_landscape_sims_LEGEND_neutrino_20.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186189/attachments/129317/156825/poster_landscape_sims_LEGEND_neutrino_20.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186189/contribution.pdf,3
342,Energy Calibration for the GERDA Experiment,Junting Huang,Junting Huang,Chloe Ransom,GERDA,Details of the energy calibration performed in GERDA.,https://indico.fnal.gov/event/19348/contributions/186215/attachments/129648/157357/gerda_calibration_neutrino_2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186215/attachments/129648/157357/gerda_calibration_neutrino_2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186215/contribution.pdf,4
343,Neutrinos from blazar PKS 1502+106,Xavier Rodrigues,Xavier Rodrigues,"Anna Franckowiak,Shan Gao,Simone Garrappa,Vaidehi Paliya,Walter Winter",,Cosmic-ray interactions in blazar PKS 1502+106 may help explain recent IceCube neutrino observation.,https://indico.fnal.gov/event/19348/contributions/186516/attachments/129945/157921/rodrigues_neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186516/attachments/129945/157921/rodrigues_neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186516/contribution.pdf,1
344,Sterile Neutrino Dark Matter Model with $S_{4}$ Flavor Symmetry,Nayana Gautam,Nayana Gautam,Mrinal Kumar Das,,The  model is successful as it is consistent with the cosmological range of dark matter parameters.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186231/contribution.pdf,2
345,Study of muon-induced background in MMC detector arrays for the ECHo experiment,Alexander Goeggelmann,Alexander Goeggelmann,Josef Jochum,ECHo experiment,"Muonic backgound source in the ECHo experiment neglible, according to pulse shape analysis.",https://indico.fnal.gov/event/19348/contributions/186214/attachments/129480/157081/Neutrino_2020_Goeggelmann_v3.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186214/attachments/129480/157081/Neutrino_2020_Goeggelmann_v3.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186214/contribution.pdf,3
346,Neutrino charged pion production on water in extended phase space using Michel electron reconstruction in the T2K Near Detector,Sam Jenkins,Sam Jenkins,Xianguo Lu,T2K,"Updated charged current single pion cross-section analysis, using Michel electron reconstruction",https://indico.fnal.gov/event/19348/contributions/186312/attachments/129983/157977/NeutrinoPoster_ND280bkg_flattened_v4.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186312/attachments/129983/157977/NeutrinoPoster_ND280bkg_flattened_v4.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186312/contribution.pdf,4
347,A high-energy neutrino coincident with a Tidal Disruption Event,Robert Stein,Robert Stein,,Zwicky Transient Facility (ZTF),ZTF identifies the tidal disruption event AT2019dsg as a likely high-energy neutrino source,https://indico.fnal.gov/event/19348/contributions/186425/attachments/129683/157429/neutrino_2020_347_stein.pdf,https://indico.fnal.gov/event/19348/contributions/186425/attachments/129683/157430/neutrino_2020_347_stein.mp4,"https://indico.fnal.gov/event/19348/contributions/186425/attachments/129683/157430/neutrino_2020_347_stein.mp4,https://indico.fnal.gov/event/19348/contributions/186425/attachments/129683/157429/neutrino_2020_347_stein.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186425/contribution.pdf,1
348,Detection of atmospheric neutrinos with the first detection units of KM3NeT-ARCA,Anna Sinopoulou,"Anna Sinopoulou,Ekaterini Tzamariudaki,Rosa Coniglione",,KM3NeT Collaboration,Atmospheric neutrino events from the first deployed detection units of the KM3NeT-ARCA detector,https://indico.fnal.gov/event/19348/contributions/186403/attachments/129456/157045/KM3NeT_CONF_2020-Poster_Neutrino2020_ARCA_ASinopoulou_FINAL.pdf,https://indico.fnal.gov/event/19348/contributions/186403/attachments/129456/157046/Neutrino2020_ASinopoulou_final.mp4,"https://indico.fnal.gov/event/19348/contributions/186403/attachments/129456/157045/KM3NeT_CONF_2020-Poster_Neutrino2020_ARCA_ASinopoulou_FINAL.pdf,https://indico.fnal.gov/event/19348/contributions/186403/attachments/129456/157046/Neutrino2020_ASinopoulou_final.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186403/contribution.pdf,2
349,DsTau (NA65) experiment: Study of tau neutrino production in proton-nucleus interactions at CERN-SPS,Sergey Dmitrievsky,Sergey Dmitrievsky,,DsTau (NA65),"Status of NA65 experiment aiming to study $\nu_{\tau}$ production in<br>
p-A interactions is presented.",https://indico.fnal.gov/event/19348/contributions/186423/attachments/129606/157289/Dmitrievsky_DsTau_Neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186423/attachments/129606/157289/Dmitrievsky_DsTau_Neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186423/contribution.pdf,3
350,Latest solar neutrino analysis results from Super-Kamiokande,Yuuki Nakano,Yuuki Nakano,,Super-Kamiokande,Solar neutrino results from Super-Kamiokande including data after refurbishment work toward SK-Gd.,https://indico.fnal.gov/event/19348/contributions/186393/attachments/129738/157520/neutrino2020_poster_ynakano_submit.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186393/attachments/129738/157520/neutrino2020_poster_ynakano_submit.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186393/contribution.pdf,4
351,Search for a neutrino counterpart to the HAWC 2-year gamma-ray catalog with the ANTARES telescope,Giovanna Ferrara,Giovanna Ferrara,Luigi Antonio Fusco,ANTARES,Ten years of ANTARES data are used to probe the neutrino emissions from the HAWC gamma-ray sky maps.,https://indico.fnal.gov/event/19348/contributions/186387/attachments/129473/157073/ANTARES-HAWC_Poster_Neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186387/attachments/129473/157073/ANTARES-HAWC_Poster_Neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186387/contribution.pdf,1
352,NOvA central value tuning and uncertainties for the hN FSI model in GENIE 3,Michael Dolce,Michael Dolce,"Hugh Gallagher,Jeremy Wolcott",NOvA,NOvA's tuning of semi-classical FSI model and construction of reweightable uncertainties using BDTs.,https://indico.fnal.gov/event/19348/contributions/186430/attachments/129888/157815/hN_FSI_tuning_-_Dolce__Wolcott_-_NEUTRINO_2020.pdf,https://indico.fnal.gov/event/19348/contributions/186430/attachments/129888/157814/NEUTRINO2020-video.mp4,"https://indico.fnal.gov/event/19348/contributions/186430/attachments/129888/157815/hN_FSI_tuning_-_Dolce__Wolcott_-_NEUTRINO_2020.pdf,https://indico.fnal.gov/event/19348/contributions/186430/attachments/129888/157814/NEUTRINO2020-video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186430/contribution.pdf,2
353,PMT gain calibration for the JSNS2 experiment,Hyoungku Jeon,"Carsten Rott,Hyoungku Jeon",,JSNS2 experiment / JSNS2 collaboration,The analysis result of the calibration run using LED at the JSNS2 experiment.,https://indico.fnal.gov/event/19348/contributions/186428/attachments/129676/157416/JSNS2Neutrino2020_poster_HK_jeon.pdf,https://indico.fnal.gov/event/19348/contributions/186428/attachments/129676/157417/JSNS2Neutrino2020_HK_Jeon_Video.mp4,"https://indico.fnal.gov/event/19348/contributions/186428/attachments/129676/157417/JSNS2Neutrino2020_HK_Jeon_Video.mp4,https://indico.fnal.gov/event/19348/contributions/186428/attachments/129676/157416/JSNS2Neutrino2020_poster_HK_jeon.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186428/contribution.pdf,3
354,Near-to-Far Extrapolation in Transverse Momentum at NOvA,Aaron Mislivec,Aaron Mislivec,,NOvA,Near-to-far extrapolation in transverse momentum reduces uncertainty in NOvA's oscillation results,https://indico.fnal.gov/event/19348/contributions/186389/attachments/129550/157193/pt_extrap_poster.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186389/attachments/129550/157193/pt_extrap_poster.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186389/contribution.pdf,4
355,Efforts for launching JSNS2 experiment at J-PARC,Yota Hino,Yota Hino,,JSNS2 Collaboration,The many efforts on both hardware and software make JSNS$^{2}$ detector ready for first physics run.,https://indico.fnal.gov/event/19348/contributions/186502/attachments/129971/157960/Poster_ID355_Neutrino2020_Landscape.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186502/attachments/129971/157960/Poster_ID355_Neutrino2020_Landscape.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186502/contribution.pdf,1
356,Analysis of High Energy Events in XENON1T,Chiara Capelli,Chiara Capelli,,XENON,Unprecedented energy resolution in the MeV range measured in XENON1T,https://indico.fnal.gov/event/19348/contributions/186391/attachments/129342/156872/capelli_neutrino20_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186391/attachments/129342/156873/capelli_neutrino20_video_2min.mp4,"https://indico.fnal.gov/event/19348/contributions/186391/attachments/129342/156872/capelli_neutrino20_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186391/attachments/129342/156873/capelli_neutrino20_video_2min.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186391/contribution.pdf,2
357,The XENONnT direct Dark Matter detection experiment.,Giovanni Volta,Giovanni Volta,,XENON,New possibilities for the liquid xenon dark matter detector in the field of neutrino physics.,https://indico.fnal.gov/event/19348/contributions/186455/attachments/129382/156930/poster_neutrino20.pdf,https://indico.fnal.gov/event/19348/contributions/186455/attachments/129382/156929/video.mp4,"https://indico.fnal.gov/event/19348/contributions/186455/attachments/129382/156930/poster_neutrino20.pdf,https://indico.fnal.gov/event/19348/contributions/186455/attachments/129382/156929/video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186455/contribution.pdf,3
358,Astrophysics with NOvA,Matthew Strait,Matthew Strait,Oleg Samoylov,NOvA,The astrophysics program of the NOvA neutrino experiment.,https://indico.fnal.gov/event/19348/contributions/186473/attachments/129748/157538/2020novaastroposter.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186473/attachments/129748/157538/2020novaastroposter.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186473/contribution.pdf,4
359,Real-time identification of short transient neutrino sources within the IceCube optical follow-up program,Richard Naab,Richard Naab,,,Improvements on the IceCube real-time search for short transients,https://indico.fnal.gov/event/19348/contributions/186457/attachments/129585/157249/IceCube_OFU_neutrino2020_poster.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186457/attachments/129585/157249/IceCube_OFU_neutrino2020_poster.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186457/contribution.pdf,1
360,Measurements on the afterpulse of the 20-inch Photomultiplier Tubes for the JUNO experiment,Yu Chen,"Alexander Olshevskiy,Bjoern Wonsak,Denis Korablev,Ilya Butorov,Nikolay Anfimov,Rong Zhao,Wei Wang,Yu Chen,ZHONGHUA QIN,Zhimin Wang",,JUNO,Measurements of the afterpulse on the 20-inch PMTs for the JUNO detector will be presented.,https://indico.fnal.gov/event/19348/contributions/186417/attachments/129719/157489/AfterpulsePosterV4.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186417/attachments/129719/157489/AfterpulsePosterV4.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186417/contribution.pdf,2
