id,title,presenters,primary_authors,co_authors,collaboration,mini_abstract,poster_link,video_link,all_links,abstract,track,category,abstract_url,poster_session
4,MeV-Scale Physics in MicroBooNE,Avinay Bhat,Avinay Bhat,,MicroBooNE,A novel reconstruction method for MeV-scale energy signatures in the MicroBooNE detector.,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158047/avinay_neutrino_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158045/avinay_poster_video.mp4,"https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158047/avinay_neutrino_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158045/avinay_poster_video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186356/contribution.pdf,1
5,Neutrino masses and mixing angles in a model with six Higgs triplets and $A_4$ symmetry,ITISHREE SETHI,"ITISHREE SETHI,Raghavendra Srikanth Hundi",,,How neutrino masses and mixing can be governed by six Higgs triplets and $A_4$ symmetry,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157066/neutrino2020.pdf,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157067/neutrino-2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157067/neutrino-2020.mp4,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157066/neutrino2020.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186673/contribution.pdf,2
6,The European Spallation Source neutrino Super Beam project,Toshihiko Ota,Toshihiko Ota,"Ekelof Tord,Marcos Dracos",ESSnuSB,The ESSnuSB project will try to discover CP violation using the 2nd neutrino oscillation maximum.,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156998/Neutrino2020-ESSvSB-ota.pdf,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156999/Neutrino2020-2min-video-ota.mp4,"https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156999/Neutrino2020-2min-video-ota.mp4,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156998/Neutrino2020-ESSvSB-ota.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186335/contribution.pdf,3
8,Neutrino Spacecraft Technical Study and Science Missions,Nick Solomey,Nick Solomey,,"NASA nuSOL, DAEMon &amp; Gandalf spacecraft.",Designing a Neutrino detector to work in space to do science studies.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186381/contribution.pdf,4
9,123 Model,João Paulo Pinheiro,"João Paulo Pinheiro,carlos pires",,,We imposed conditions for the new couplings of the model to be concordant with the experiments.,https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157060/NEUTRINO20.pdf,NotFound,"https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157061/go,https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157060/NEUTRINO20.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/187327/contribution.pdf,1
11,Early Warning from the Detection of Pre-supernova Neutrinos in Future Large Liquid-scintillator Detectors,Huiling Li,Huiling Li,,JUNO,Early warning capability of pre-supernova neutrinos in future large liquid-scintillator detectors,https://indico.fnal.gov/event/19348/contributions/186677/attachments/129251/156732/nu2020_preSNnu_huiling.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186677/attachments/129251/156732/nu2020_preSNnu_huiling.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186677/contribution.pdf,2
12,Coupling Neutrino Oscillations and Simulations of Core-Collapse Supernovae,James Kneller,James Kneller,"Carla Frohlich,Charles Stapleford",,The first core-collapse supernova simulation with self-consistent neutrino flavor transformation.,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157082/Kneller.Neutrino2020.pdf,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157774/Kneller.Neutrino2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157774/Kneller.Neutrino2020.mp4,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157082/Kneller.Neutrino2020.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186442/contribution.pdf,3
13,A Machine Learning Approach to Study the Neutrino Charged-current Interaction on $^{127}$I,Peibo An,Peibo An,,"NaI [Tl], the COHERENT collaboration",A CNN model preserves 77% of nueCC on 127-I signals and removes 78% of the cosmic backgrounds.,https://indico.fnal.gov/event/19348/contributions/186697/attachments/129529/157156/Neutrino2020_PosterP.Anv2.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186697/attachments/129529/157156/Neutrino2020_PosterP.Anv2.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186697/contribution.pdf,4
14,First Demonstration of Ionization Cooling by the Muon Ionization Cooling Experiment,Chris Rogers,Chris Rogers,,MICE,MICE built a section of an ionization cooling cell and provided the first demonstration of cooling.,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157624/2020-06-05_neutrino-poster.pdf,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157649/2020-06-03_neutrino-poster.mp4,"https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157649/2020-06-03_neutrino-poster.mp4,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157624/2020-06-05_neutrino-poster.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186724/contribution.pdf,1
15,Transverse Emittance Change in MICE 'Solenoid Mode' with Muon Ionization Cooling,Tom Lord,Tom Lord,,MICE,"We present performance of MICE in 'solenoid' mode, with no change of polarity across the absorber.",https://indico.fnal.gov/event/19348/contributions/186726/attachments/129910/157846/Neutrino2020_MICE_solenoid_mode.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186726/attachments/129910/157846/Neutrino2020_MICE_solenoid_mode.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186726/contribution.pdf,2
16,Muon Ionization Cooling Demonstration by Normalized Transverse Emittance Reduction in MICE 'Flip Mode',Paul Jurj,Paul Jurj,,MICE,Change in transverse emittance in MICE flipped polarity configuration is characterized and discussed,https://indico.fnal.gov/event/19348/contributions/186727/attachments/129834/157705/MICE_FlipModeAnalysis.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186727/attachments/129834/157705/MICE_FlipModeAnalysis.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186727/contribution.pdf,3
17,Emittance Exchange in MICE,Craig Brown,Craig Brown,,MICE,Change in longitudinal and transverse phase space from a polyethylene wedge in MICE is presented.,https://indico.fnal.gov/event/19348/contributions/186725/attachments/129805/157640/EmittanceExchangeInMICENeutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186725/attachments/129805/157640/EmittanceExchangeInMICENeutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186725/contribution.pdf,4
18,R2D2: a spherical high pressure TPC for the neutrinoless double beta decay search,Vincent Cecchini,Anselmo Meregaglia,Vincent Cecchini,R2D2,The R2D2 project proved an excellent energy resolution in Ar and measurements in Xenon are ongoing,https://indico.fnal.gov/event/19348/contributions/186670/attachments/129351/156888/R2D2Poster18_CecchiniV.pdf,https://indico.fnal.gov/event/19348/contributions/186670/attachments/129351/157084/R2D2VideoN18_CecchiniV.mov,"https://indico.fnal.gov/event/19348/contributions/186670/attachments/129351/156888/R2D2Poster18_CecchiniV.pdf,https://indico.fnal.gov/event/19348/contributions/186670/attachments/129351/157084/R2D2VideoN18_CecchiniV.mov",null,null,null,https://indico.fnal.gov/event/19348/contributions/186670/contribution.pdf,1
19,Status of the ESSνSB Target Station Design,Tamer Tolba,Tamer Tolba,,ESSνSB Collaboration,ESSνSB experiment aims for the CP-violation search in the leptonic sector at 5σ significance level,https://indico.fnal.gov/event/19348/contributions/186400/attachments/129419/156987/Poster_ID19_TamerTolba.pdf,https://indico.fnal.gov/event/19348/contributions/186400/attachments/129419/156988/PosterAudio_ID19_TamerTolba.mp4,"https://indico.fnal.gov/event/19348/contributions/186400/attachments/129419/156988/PosterAudio_ID19_TamerTolba.mp4,https://indico.fnal.gov/event/19348/contributions/186400/attachments/129419/156987/Poster_ID19_TamerTolba.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186400/contribution.pdf,2
20,Magnetic field measurement and optimization at the KATRIN main spectrometer,Jan Behrens,"Fabian Block,Jan Behrens","Ferenc Glück,Heiko Bouquet,Woosik Gil",KATRIN,We present studies of the magnetic field at the KATRIN main spectrometer during neutrino-mass runs.,https://indico.fnal.gov/event/19348/contributions/186683/attachments/129639/157342/poster.pdf,NotFound,"https://indico.fnal.gov/event/19348/contributions/186683/attachments/129639/157342/poster.pdf,https://indico.fnal.gov/event/19348/contributions/186683/attachments/129639/157343/poster.png",null,null,null,https://indico.fnal.gov/event/19348/contributions/186683/contribution.pdf,3
21,Investigation of germanium detector surface events with the multi-purpose scanning facility GALATEA,Lukas Hauertmann,Lukas Hauertmann,"Anna Julia Zsigmond,Christopher Gooch,Iris Abt,Oliver Schulz,Xiang Liu",GeDet,Investigation of germanium detector surface events.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186549/contribution.pdf,4
22,Measurement of cosmic-muon induced neutrons with the MINIDEX experiment,Xiang Liu,Xiang Liu,"Bela Majorovits,Christopher Gooch,Iris Abt,Oliver Schulz,Raphael Kneissl",MINIDEX,Measurement of cosmic-muon induced neutrons in high-Z materials in shallow underground laboratory.,https://indico.fnal.gov/event/19348/contributions/186513/attachments/129187/156628/minidex_poster_neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186513/attachments/129187/156628/minidex_poster_neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186513/contribution.pdf,1
24,Neutrino Oscillations at low energy long baseline experiments in the presence of nonstandard interactions and parameter degeneracy,Osamu Yasuda,Osamu Yasuda,,,Nu Oscillations at low energy LBL experiments in the presence of NSI and parameter degeneracy,https://indico.fnal.gov/event/19348/contributions/186540/attachments/129232/156697/nu2020-yasuda-v004.pdf,https://indico.fnal.gov/event/19348/contributions/186540/attachments/129232/156698/zoom_2.mp4,"https://indico.fnal.gov/event/19348/contributions/186540/attachments/129232/156697/nu2020-yasuda-v004.pdf,https://indico.fnal.gov/event/19348/contributions/186540/attachments/129232/156698/zoom_2.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186540/contribution.pdf,3
26,Efficient neutrino oscillation parameter inference using Gaussian processes,Nitish Nayak,"Jianming Bian,Nitish Nayak","Lingge Li,Pierre Baldi",,Gaussian Process boosts neutrino oscillation parameter inference with Feldman-Cousins approach,https://indico.fnal.gov/event/19348/contributions/186339/attachments/129858/157754/Neutrino2020_NuE.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186339/attachments/129858/157754/Neutrino2020_NuE.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186339/contribution.pdf,3
27,Reactor neutrino anomalies and possible solutions,Yu-Feng Li,Yu-Feng Li,,,Theretical model calculation and global neutrino flux data test of the reactor anomaly,https://indico.fnal.gov/event/19348/contributions/186628/attachments/129594/157263/Poster_reactor-2020.pdf,NotFound,"https://indico.fnal.gov/event/19348/contributions/186628/attachments/129594/157265/intro.txt,https://indico.fnal.gov/event/19348/contributions/186628/attachments/129594/157263/Poster_reactor-2020.pdf,https://indico.fnal.gov/event/19348/contributions/186628/attachments/129594/157264/Poster_reactor-2020.pptx",null,null,null,https://indico.fnal.gov/event/19348/contributions/186628/contribution.pdf,1
28,matter vs vacuum oscillations at long-baseline accelerator neutrino experiments,Sankagiri Umasankar,Sankagiri Umasankar,"Suman Bharti,Ushak Rahaman",,"Distinction between vacuum and matter modified oscillations at<br>
accelerator neutrino experiments.",https://indico.fnal.gov/event/19348/contributions/186233/attachments/129611/157298/matvsvaclblnu2020.pdf,https://indico.fnal.gov/event/19348/contributions/186233/attachments/129611/157299/mat_vs_vac.mp4,"https://indico.fnal.gov/event/19348/contributions/186233/attachments/129611/157298/matvsvaclblnu2020.pdf,https://indico.fnal.gov/event/19348/contributions/186233/attachments/129611/157299/mat_vs_vac.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186233/contribution.pdf,2
29,Singular values as neutrino mixing quantifiers,Wojciech Flieger,Wojciech Flieger,"Janusz Gluza,Kamil Porwit",,Bounds for the active-sterile neutrino mixing are derived based on advanced matrix theory methods.,https://indico.fnal.gov/event/19348/contributions/186257/attachments/129446/157030/neutrino_2020_flieger.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186257/attachments/129446/157030/neutrino_2020_flieger.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186257/contribution.pdf,3
35,"Direct comparison of sterile neutrino constraints from cosmological data, electron neutrino disappearance data and muon neutrino to electron neutrino appearance data in a 3+1 model",Justin Evans,Justin Evans,"Pawel Guzowski,Stefan Soldner-Rembold",,We compare sterile neutrino limits from the CMB to those from neutrino oscillation experiments.,https://indico.fnal.gov/event/19348/contributions/186406/attachments/129764/157574/cosmology_nu2020_poster.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186406/attachments/129764/157574/cosmology_nu2020_poster.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186406/contribution.pdf,4
36,Matter vs Vacuum Oscillations in Atmospheric Neutrinos,Jaydeep Datta,Jaydeep Datta,"Ali Ajmi,Mohammad Nizam,S. UmaSankar",India-Based Neutrino Observatory (INO),ICAL can make a 3 σ discrimination between vacuum and matter oscillations in atmospheric neutrinos.,https://indico.fnal.gov/event/19348/contributions/186461/attachments/129347/156897/Matter_vs_Vacuum_Oscillations_poster.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186461/attachments/129347/156897/Matter_vs_Vacuum_Oscillations_poster.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186461/contribution.pdf,1
37,TLK - Providing tritium expertise and technology for the neutrino community,Florian Priester,Florian Priester,"Magnus Schloesser,Robin Größle,Simon Niemes,Stefan Welte",Tritium Laboratory Karlsruhe (IKP-TLK),The Tritium Laboratory Karlsruhe (TLK) provides tritium expertise for the neutrino community.,https://indico.fnal.gov/event/19348/contributions/186450/attachments/129089/156474/Poster_Neutrino_2020__V1.0.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186450/attachments/129089/156474/Poster_Neutrino_2020__V1.0.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186450/contribution.pdf,2
38,Applications of deep learning to the SNO+ experiment,Mark Anderson,Mark Anderson,,SNO+,Deep learning methods improve event reconstruction and signal identification in the SNO+ detector.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186705/contribution.pdf,3
40,"Model-independent way to test the CPT violation using NOvA, T2K and INO experiments",Daljeet Kaur,Daljeet Kaur,,,"Model-independent way to test the CPT violation using NOvA, T2K and INO experiments",https://indico.fnal.gov/event/19348/contributions/186252/attachments/129337/156867/poster_landscape.pdf,https://indico.fnal.gov/event/19348/contributions/186252/attachments/129337/156964/daljeet_nu2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186252/attachments/129337/156964/daljeet_nu2020.mp4,https://indico.fnal.gov/event/19348/contributions/186252/attachments/129337/156867/poster_landscape.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186252/contribution.pdf,4
41,Measurements of the polyethylene naphthalate performance as a wavelength shifter in ProtoDUNE-DP,José SOTO,José SOTO,,DUNE,PEN and TPB as wavelength shifters of LAr scintillation light using ProtoDUNE-DP cosmic data.,https://indico.fnal.gov/event/19348/contributions/186431/attachments/129052/156428/NEU2020_Soto_PEN_v2.pdf,https://indico.fnal.gov/event/19348/contributions/186431/attachments/129052/156427/NEU2020_Soto_PEN_v2.mp4,"https://indico.fnal.gov/event/19348/contributions/186431/attachments/129052/156427/NEU2020_Soto_PEN_v2.mp4,https://indico.fnal.gov/event/19348/contributions/186431/attachments/129052/156428/NEU2020_Soto_PEN_v2.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186431/contribution.pdf,1
42,LAr scintillation light measurements taken during one year by ProtoDUNE Dual Phase at CERN,Ana Gallego Ros,Ana Gallego Ros,,DUNE Collaboration,Analysis of the photon detection from cosmic ray muons taken during one year by ProtoDUNE Dual Phase,https://indico.fnal.gov/event/19348/contributions/186532/attachments/129422/156991/Poster_Neutrino2020_AGallego.pdf,https://indico.fnal.gov/event/19348/contributions/186532/attachments/129422/156992/Video_Neutrino2020_AGallego.mp4,"https://indico.fnal.gov/event/19348/contributions/186532/attachments/129422/156991/Poster_Neutrino2020_AGallego.pdf,https://indico.fnal.gov/event/19348/contributions/186532/attachments/129422/156992/Video_Neutrino2020_AGallego.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186532/contribution.pdf,2
43,Neutron-antineutron oscillation search at Super-Kamiokande,Linyan WAN,Linyan WAN,,Super-Kamiokande,New result for $n\to\bar n$ oscillation search at SK.,https://indico.fnal.gov/event/19348/contributions/186684/attachments/129046/156420/NNbarposter_landscape.pdf,https://indico.fnal.gov/event/19348/contributions/186684/attachments/129046/157068/nnbar_presentation.mp4,"https://indico.fnal.gov/event/19348/contributions/186684/attachments/129046/156420/NNbarposter_landscape.pdf,https://indico.fnal.gov/event/19348/contributions/186684/attachments/129046/157068/nnbar_presentation.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186684/contribution.pdf,3
44,Hints and Tests of Dark Neutrino Sectors,Matheus Hostert,Matheus Hostert,,,Dark neutrino sectors with an inverse seesaw and possible hints at low energy experiments.,https://indico.fnal.gov/event/19348/contributions/186665/attachments/129902/157833/mhostert.pdf,https://indico.fnal.gov/event/19348/contributions/186665/attachments/129902/157882/mhostert_video.mp4,"https://indico.fnal.gov/event/19348/contributions/186665/attachments/129902/157833/mhostert.pdf,https://indico.fnal.gov/event/19348/contributions/186665/attachments/129902/157882/mhostert_video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186665/contribution.pdf,4
45,Examination of reliability of nuclear matrix elements of neutrinoless double-β decay by QRPA,Jun Terasaki,Jun Terasaki,Yoritaka Iwata,,The approximation for the nuclear matrix element of the neutrinoless double-β decay is examined.,https://indico.fnal.gov/event/19348/contributions/186616/attachments/129091/156478/Terasaki_2020_A0_landscape.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186616/attachments/129091/156478/Terasaki_2020_A0_landscape.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186616/contribution.pdf,1
46,Development and performance of the 20” MCP PMT for Hyper-Kamiokande,Christophe Bronner,Christophe Bronner,,Hyper-Kamiokande,"20"" MCP PMTs were developed for the Hyper-Kamiokande experiment, and their performance evaluated",None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186342/contribution.pdf,2
47,Flavor mixing and the permutation symmetry,Shao-Hsuan Chiu,T. K. Kuo,Shao-Hsuan Chiu,,Rephasing invariance can be used to establish permutation symmetry for the standard model.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186306/contribution.pdf,3
48,The 3-inch Photomultiplier System of the JUNO Experiment,Cedric Cerna,Cedric Cerna,,JUNO,"A 25,600 3-inch photomultipliers system will operate as secondary light measurement system in JUNO.",https://indico.fnal.gov/event/19348/contributions/186240/attachments/129692/157444/Poster_JUNO_SPMT.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186240/attachments/129692/157444/Poster_JUNO_SPMT.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186240/contribution.pdf,4
49,First Detection of CEvNS on Argon with the CENNS-10 Liquid Argon Detector,Jacob Zettlemoyer,Jacob Zettlemoyer,,COHERENT,First detection of coherent elastic neutrino-nucleus scattering on argon nucleus,https://indico.fnal.gov/event/19348/contributions/186193/attachments/129767/157578/JCZNeutrino2020CENNS10Landscape.pdf,https://indico.fnal.gov/event/19348/contributions/186193/attachments/129767/157577/JCZNeutrinoVideo.mp4,"https://indico.fnal.gov/event/19348/contributions/186193/attachments/129767/157578/JCZNeutrino2020CENNS10Landscape.pdf,https://indico.fnal.gov/event/19348/contributions/186193/attachments/129767/157577/JCZNeutrinoVideo.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186193/contribution.pdf,1
50,Improved Constraints on Sterile Neutrinos in the MeV to GeV Mass Range,Robert Shrock,"Douglas A. Bryman,Robert Shrock",,,"Improved upper bounds on sterile neutrinos couplings $|U_{e4}|^2$ and<br>
  $|U_{\mu 4}|^2$.",None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186358/contribution.pdf,2
51,"""Secret” neutrino interactions help Dark matter",Manibrata Sen,Manibrata Sen,"Andre de Gouvea,Yue Zhang",,Secret interactions of neutrinos provides an experimentally feasible solution for dark matter puzzle,https://indico.fnal.gov/event/19348/contributions/186594/attachments/129528/157154/ManibrataSen_Neutrino2020_Poster.pdf,https://indico.fnal.gov/event/19348/contributions/186594/attachments/129528/157155/ManibrataSen_Neutrino2020_PosterVideo.mp4,"https://indico.fnal.gov/event/19348/contributions/186594/attachments/129528/157154/ManibrataSen_Neutrino2020_Poster.pdf,https://indico.fnal.gov/event/19348/contributions/186594/attachments/129528/157155/ManibrataSen_Neutrino2020_PosterVideo.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186594/contribution.pdf,3
52,Measuring Free Electron Lifetimes in the ProtoDUNE-SP Single Phase Detector,Richie Diurba,Richie Diurba,,ProtoDUNE-SP,Measuring the electron lifetime in ProtoDUNE Single-Phase using externally tagged tracks,https://indico.fnal.gov/event/19348/contributions/186454/attachments/129385/156933/ProtoDUNESP_ELifetime_Neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186454/attachments/129385/156933/ProtoDUNESP_ELifetime_Neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186454/contribution.pdf,4
53,Charge and energy calibration of the ProtoDUNE-SP detector using cosmic ray muons,Ajib Paudel,Ajib Paudel,,ProtoDUNE-SP/DUNE,Cosmic muons as a calibration source for charge and energy calibration of the ProtoDUNE-SP LArTPC.,https://indico.fnal.gov/event/19348/contributions/186439/attachments/129569/157221/Neutrino_2020_poster_final.pdf,https://indico.fnal.gov/event/19348/contributions/186439/attachments/129569/157756/video_neutrino_2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186439/attachments/129569/157221/Neutrino_2020_poster_final.pdf,https://indico.fnal.gov/event/19348/contributions/186439/attachments/129569/157756/video_neutrino_2020.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186439/contribution.pdf,1
54,The nEXO Outer Detector and Muon Veto,Soud Al Kharusi,Soud Al Kharusi,nEXO Collaboration,nEXO Collaboration,The Outer Detector design for shielding and muon veto for the nEXO experiment.,https://indico.fnal.gov/event/19348/contributions/186447/attachments/129817/157665/AlKharusi_Neutrino2020_nEXO_OD.pdf,https://indico.fnal.gov/event/19348/contributions/186447/attachments/129817/157667/AlKharusi_Neutrino2020_nEXO_OD.mp4,"https://indico.fnal.gov/event/19348/contributions/186447/attachments/129817/157667/AlKharusi_Neutrino2020_nEXO_OD.mp4,https://indico.fnal.gov/event/19348/contributions/186447/attachments/129817/157665/AlKharusi_Neutrino2020_nEXO_OD.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186447/contribution.pdf,2
55,Combined Reconstruction of Event Pairs in Gadolinium Water,Liz Kneale,Liz Kneale,,AIT-WATCHMAN,Combined reconstruction of signal pairs in Gd-water improves reactor anti-neutrino sensitivity,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186181/contribution.pdf,3
56,Theta 13 measurement using data with neutron captured on hydrogen at RENO,Eunhyang Kwon,Eunhyang Kwon,"Byeongsu Yang,Chang Dong Shin,Daeun Jung,Dong Ho Moon,Dongha Lee,Hanil Jang,Hyun Gi Lee,Hyunkwan Seo,Intae Yu,Intaek Lim,JUNE HO CHOI,Jae Yool Kim,Jee Seung Jang,Jiwoong Seo,Jong Geon Kim,Jonghee Yoo,Junhoo Seo,Kiwon Ju,Kyung Kwang Joo,Minsang Yu,Myoung Youl Pac,Piljoon Gwak,Sanghoon Jeon,Sangyong Kim,Seok-Gyeong Yoon,Soo-Bong Kim,Wooyoung Kim,Zohaib Atif","RENO, Neutrino, Hydrogen","RENO measured the neutrino mixing angle, theta13, with neutron captured on Hydrogen(n-H).",https://indico.fnal.gov/event/19348/contributions/186364/attachments/129537/157474/Neutrino2020_nH_ehkwon_v2.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186364/attachments/129537/157474/Neutrino2020_nH_ehkwon_v2.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186364/contribution.pdf,4
57,"Search for low-energy Borexino's signals correlated with gamma-ray bursts, solar flares and gravitational wave events.",Aleksandr Derbin,Aleksandr Derbin,,,"Search for Borexino's signals correlated with GRBs, solar flares and GW events have been performed.",https://indico.fnal.gov/event/19348/contributions/186635/attachments/129174/156609/Derbin_poster_Bx_GRB_GW_SF_A0_N2020_landscape.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186635/attachments/129174/156609/Derbin_poster_Bx_GRB_GW_SF_A0_N2020_landscape.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186635/contribution.pdf,1
58,Measuring the proton-argon cross section at ProtoDUNE-SP,Heng-Ye Liao,Heng-Ye Liao,,DUNE,The proton-argon cross-section measurement with the ProtoDUNE-SP experiment.,https://indico.fnal.gov/event/19348/contributions/186343/attachments/129397/156950/nu2020_hengyeliao.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186343/attachments/129397/156950/nu2020_hengyeliao.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186343/contribution.pdf,2
59,Atomic Shannon entropy in astrophysical nonthermal plasmas,Young-Dae Jung,Young-Dae Jung,Myoung-Jae Lee,,The Shannon entropy for the atomic states are investigated in astrophysical Lorentzian plasmas.,https://indico.fnal.gov/event/19348/contributions/186622/attachments/129233/156699/Neutrino_2020Poster-59-Lee-Jung.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186622/attachments/129233/156699/Neutrino_2020Poster-59-Lee-Jung.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186622/contribution.pdf,3
60,The Silicon-Photomultiplier Based Light Readout System for nEXO,Jonathan Echevers,Jonathan Echevers,,,"We present an overview of a novel, SiPM-based light detection system for the nEXO experiment.",https://indico.fnal.gov/event/19348/contributions/186520/attachments/129919/158030/neutrino-2020-johny.pdf,https://indico.fnal.gov/event/19348/contributions/186520/attachments/129919/157935/zoom_23.mp4,"https://indico.fnal.gov/event/19348/contributions/186520/attachments/129919/158030/neutrino-2020-johny.pdf,https://indico.fnal.gov/event/19348/contributions/186520/attachments/129919/157935/zoom_23.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186520/contribution.pdf,4
61,Running Status and Analysis of 1-ton Prototype of the Jinping Neutrino Experiment,Jinjing Li,Jinjing Li,,Jinping Neutrino Experiment,Latest status and results from the 1-ton prototype of Jinping Neutrino Experiment at CJPL.,https://indico.fnal.gov/event/19348/contributions/186686/attachments/129614/157305/JinpingPoster_JinjingLi_neutrino2020.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186686/attachments/129614/157305/JinpingPoster_JinjingLi_neutrino2020.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186686/contribution.pdf,1
62,Updated results on reactor antineutrino oscillation amplitude and frequency for 2900 days at RENO,DongHa Lee,DongHa Lee,,,RENO reported updated measurement of reactor antineutrino oscillation obtained from the 2900 day,https://indico.fnal.gov/event/19348/contributions/186353/attachments/129668/157472/2020_neutrino_precise_measurement_poster_200615_finalfinal2.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186353/attachments/129668/157472/2020_neutrino_precise_measurement_poster_200615_finalfinal2.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186353/contribution.pdf,2
